time,temperature_instant,precipitation,predictability,temperature_max,sealevelpressure_mean,windspeed_mean,precipitation_hours,sealevelpressure_min,pictocode,snowfraction,humiditygreater90_hours,convective_precipitation,relativehumidity_max,temperature_min,winddirection,felttemperature_max,relativehumidity_min,felttemperature_mean,windspeed_min,felttemperature_min,precipitation_probability,uvindex,rainspot,temperature_mean,sealevelpressure_max,relativehumidity_mean,predictability_class,windspeed_max
2025-12-09,21.51,42.67,55,23.01,1004,4.5,19.0,1001,8,0.0,1.0,42.67,97,21.06,315,24.4,92,22.87,2.53,21.44,90,2,3333333333333333333333333333333333333333333333333,21.66,1008,95,3.0,7.09
2025-12-10,21.06,0.15,55,28.88,1004,5.29,7.0,1002,8,0.0,0.33,0.04,100,19.99,270,26.05,45,23.0,2.09,20.6,11,9,0000999909990909901910999111000011191111111111121,23.64,1006,72,3.0,8.31
2025-12-11,21.02,0.0,79,30.1,1007,2.57,0.0,1005,2,0.0,0.0,0.0,82,19.69,270,31.15,45,25.73,0.42,20.82,1,13,0000000000000000000000000000000000000000000000000,24.35,1009,66,4.0,5.01
2025-12-12,21.54,7.94,46,26.26,1007,1.51,12.0,1005,8,0.0,0.33,7.94,97,19.94,0,29.1,77,25.82,0.38,21.58,95,6,3333233333333333333333223333333332222332222222232,22.85,1009,85,3.0,3.09
2025-12-13,21.8,27.4,39,25.3,1006,2.74,13.0,1005,8,0.0,0.33,27.4,99,21.43,315,27.75,83,26.07,0.57,24.54,99,6,3333333333333333333333333333333333333333333333333,23.14,1008,92,2.0,5.84
2025-12-14,22.31,49.62,37,28.09,1007,2.71,24.0,1005,8,0.0,0.0,49.62,99,21.58,315,31.18,72,27.57,0.47,24.19,96,10,3333333333333333333333333333333333333333333333333,24.42,1008,88,2.0,4.62
2025-12-15,22.86,22.85,42,29.19,1008,1.44,18.0,1007,8,0.0,0.38,22.85,97,21.9,270,32.61,66,28.9,0.13,26.13,90,13,3332333333333333333333333333333333333333333333333,25.12,1010,82,3.0,4.17
